concessionaria;identificador;rodovia;uf;km_m;municipio;tipo_de_pista;latitude;longitude;data_de_passagem;sentido_da_passagem;faixa_da_passagem;faixa_de_velocidade;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"101 - 120 KM/h";"Moto";129
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"101 - 120 KM/h";"Veículo leve";1261
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"101 - 120 KM/h";"Veículo pesado";8
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"121 - 140 KM/h";"Moto";19
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"121 - 140 KM/h";"Veículo leve";95
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"121 - 140 KM/h";"Veículo pesado";2
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"141 - 160 KM/h";"Moto";4
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"141 - 160 KM/h";"Veículo leve";15
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"141 - 160 KM/h";"Veículo pesado";1
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"21 - 50 KM/h";"Moto";16
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"21 - 50 KM/h";"Não Identificado";1
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"21 - 50 KM/h";"Veículo leve";346
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"21 - 50 KM/h";"Veículo pesado";207
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"51 - 80 KM/h";"Moto";331
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"51 - 80 KM/h";"Veículo leve";6564
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"51 - 80 KM/h";"Veículo pesado";1287
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"81 - 100 KM/h";"Moto";432
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"81 - 100 KM/h";"Veículo leve";5615
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"81 - 100 KM/h";"Veículo pesado";169
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"<= 20 KM/h";"Veículo leve";1
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"> 160 KM/h";"Moto";1
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"> 160 KM/h";"Veículo leve";10
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"23/03/2022";"Crescente";1;"> 160 KM/h";"Veículo pesado";4
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"101 - 120 KM/h";"Moto";240
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"101 - 120 KM/h";"Veículo leve";2213
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"101 - 120 KM/h";"Veículo pesado";25
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"121 - 140 KM/h";"Moto";33
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"121 - 140 KM/h";"Veículo leve";139
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"121 - 140 KM/h";"Veículo pesado";4
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"141 - 160 KM/h";"Moto";2
