concessionaria;identificador;rodovia;uf;km_m;municipio;tipo_de_pista;latitude;longitude;data_de_passagem;sentido_da_passagem;faixa_da_passagem;faixa_de_velocidade;tipo_de_veiculo;volume_total
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"101 - 120 KM/h";"Moto";131
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"101 - 120 KM/h";"Veículo leve";3838
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"101 - 120 KM/h";"Veículo pesado";21
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"121 - 140 KM/h";"Moto";22
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"121 - 140 KM/h";"Veículo leve";607
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"121 - 140 KM/h";"Veículo pesado";7
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"141 - 160 KM/h";"Moto";6
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"141 - 160 KM/h";"Veículo leve";47
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"21 - 50 KM/h";"Moto";1
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"21 - 50 KM/h";"Veículo leve";22
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"21 - 50 KM/h";"Veículo pesado";1
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"51 - 80 KM/h";"Moto";139
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"51 - 80 KM/h";"Veículo leve";3666
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"51 - 80 KM/h";"Veículo pesado";434
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"81 - 100 KM/h";"Moto";275
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"81 - 100 KM/h";"Veículo leve";8198
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"81 - 100 KM/h";"Veículo pesado";379
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"<= 20 KM/h";"Moto";321
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"<= 20 KM/h";"Veículo leve";4
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"01/01/2022";"Decrescente";2;"> 160 KM/h";"Veículo leve";7
